科室,疾病,ICD编码,备注1,备注2,ICDcode,现有241类疾病中已包括,gender,age,兼职人员,top0症状体征,关键症状体征,重要症状体征,普通症状体征,关键化验检查,重要化验检查,普通化验检查,delete,
妇科,梅毒,A53.900 ,,,A53,No,,,苏秀梅,,不良性接触，外生殖器硬下疳，皮肤黏膜出现梅毒疹，皮肤黏膜树胶样肿或结节，溃疡,骨膜炎、关节炎、虹膜炎、视网膜炎、眼膜炎；主动脉炎、主动脉关闭不全、主动脉瘤；梅毒性脑炎、脑血管梅毒、麻痹性痴呆、视神经猥琐,低热、食欲减退、头痛、肌肉及关节骨骼酸痛,病变部位找到梅毒螺旋体；快速血浆反应素试验（PRP）阳性；梅毒螺旋体颗粒凝集试验（TPPA）阳性,脑脊液淋巴细胞>10^6/L、蛋白量>50mg/dl、VDRL阳性,,,
妇产科,"其他主要为性传播的疾病,不可归类在他处者",,"[('尖锐湿疣', 59), ('外阴尖锐湿疣', 42), ('湿疣', 10), ('外阴假性尖锐湿疣', 3), ('尖锐湿疣激光', 3)]",,A63,,,345,,"尖锐湿疣,外阴尖锐湿疣,湿疣,外阴假性尖锐湿疣,尖锐湿疣激光",,"淡红色丘疹,HPV,菜花样突起,人乳头瘤病毒","里急后重感,便血",挖空细胞阳性，HPV DNA阳性,,,,
儿科,未特指的病毒性脑炎,,"[('病毒性脑炎', 84), ('病毒性脑炎后', 7), ('病毒性脑膜脑炎', 2), ('病毒性脑炎痊愈', 2), ('病毒性脑干脑炎', 2)]",,A86,,,,,"未特指的病毒性脑炎,病毒性脑炎,病毒性脑炎后,病毒性脑膜脑炎,病毒性脑炎痊愈,病毒性脑干脑炎",,"发热,嗜睡,头疼","寒战,畏光,咽痛,精神委靡,周身不适,颈项强直,眩晕,肌肉疼痛,腹痛",脑脊液检查：有核细胞数增加,血常规：白细胞增高；淋巴比例增高,脑电图：不正常脑电图,,
妇产科,疱疹病毒[单纯疱疹]感染,,"[('EB病毒感染', 136), ('疱疹病毒感染', 114), ('EBVHLH', 51), ('疱疹', 36), ('单纯疱疹病毒感染', 27)]",,B00,,,,,"疱疹病毒感染,EB病毒感染,疱疹病毒感染,疱疹,单纯疱疹病毒感染",,"口唇疱疹,生殖器疱疹,发热,淋巴结肿大,疱疹","疲乏,肛门湿疹瘙痒,斑疹,红斑样皮疹,恶心,呕吐,定向力障碍,昏迷,溃疡,腹股沟痒,黄白色水疱,头晕,嗜睡,周身不适,食欲减退,唇水疱,水疱,肌肉疼痛,牙龈痛,头疼,色素异常",HSV阳性，EB阳性,,,,
儿科,水痘,,"[('水痘', 213), ('水痘痊愈', 24), ('水痘后左耳后', 1), ('水痘已愈', 1), ('水痘后', 1)]",,B01,,,,,水痘,,"疲乏,发热,咽痛,丘疹,咳嗽,结痂,淋巴结肿大,疱疹,头疼","食欲下降,全身感染中毒,寒战,斑疹,血疱,水痘结痂,表皮全层坏死,胸痛,表皮下大疱,毒血症,咳血痰",血常规：白细胞增高；淋巴细胞病例增高,疱疹刮片或组织活检：刮取新鲜疱疹基底物用瑞氏或姬姆萨染色检查多核巨细胞，用酸性染色检查核内包涵体。,病毒分离、血清抗体检测：PCR方法检测鼻咽部分泌物的病毒DNA为敏感和快速的早期诊断手段。,,
儿科,"其他以皮肤和粘膜损害为特征的病毒性感染,不可归类在他处者",,"[('手足口病', 4191), ('疱疹性咽峡炎', 3260), ('幼儿急疹', 462), ('手足口病痊愈', 307), ('疱疹性咽峡炎痊愈', 38)]",,B08,,,,,"手足口病,疱疹性咽峡炎,幼儿急疹,手足口病痊愈",,"发热,水疱,丘疹,咽喉肿痛,淋巴结肿大,疱疹","面部蝶形红斑,斑疹,咽喉部充血,无痛性肿块,身体不适,口唇疱疹,溃疡,脓疱,咽部溃疡,咽喉疼痛,唇水疱,瘙痒,结节,结膜充血,皮肤水疱,痘疮,厌食,头疼",血清病毒抗体监测：病毒检测阳性,,,,
儿科,未特指的以皮肤和粘膜损害为特征的病毒性感染,,"[('病毒性皮疹', 277), ('病毒性皮疹痊愈', 2), ('病毒性及过敏性皮疹', 1)]",,B09,,,,,"病毒性皮疹,病毒性皮疹,过敏性皮疹",,"发热,水疱,丘疹,疱疹病毒,淋巴结肿大,触痛","高热惊厥,咽痛,流涕",血清病毒抗体监测：病毒检测阳性,,,,
儿科,急性乙型肝炎,,"[('乙肝', 270), ('乙肝大三阳', 34), ('乙型病毒性肝炎', 4), ('乙肝携带', 3), ('病毒性乙肝', 2)]",,B16,,,,,"急性乙型肝炎,乙肝,乙肝大三阳,乙型病毒性肝炎,乙肝携带,病毒性乙肝",,"乙肝,肝纤维化,面色晦暗发黄","发热,恶心,肝区疼,巩膜黄染,肝脾大,蜘蛛痣,食欲不振,腹胀,乏力,黄疸",乙肝两对半：乙肝表面抗原阳性,肝功能：肝酶增高,乙肝病毒DNA检查：阳性,,
儿童肿瘤外科,肿瘤,"B21,C00-C96,D10-D48",,,B21,No,,,嘉敏,肿瘤，癌症,,,,,,,,
儿科,巨细胞病毒病,,"[('巨细胞病毒感染', 85), ('巨细胞病毒性肝炎', 61), ('巨细胞病毒肝炎', 22), ('巨细胞感染', 13), ('CMV感染', 8)]",,B25,,,,,"巨细胞病毒病,巨细胞病毒感染,巨细胞病毒性肝炎,巨细胞病毒肝炎,巨细胞感染,CMV感染",,"发热,肝脾肿胀,皮肤瘀点","疲乏,抽搐,咳嗽,呼吸困难,智力低下,持续性黄疸,运动障碍,昏迷,啰音,肝脾肿大,小头畸形,干咳",巨细胞病毒检查：IgM阳性 DNA检查阳性,,,,
儿科,传染性单核细胞增多症,,"[('传单', 1149), ('传染性单核细胞增多症', 363), ('传染性单核细胞增多', 3), ('传染性单核细胞增多症痊愈', 2), ('传染性单核细胞增生症', 2)]",,B27,,,,,"传染性单核细胞增多症,传单,传染性单核细胞增多症,传染性单核细胞增多,传染性单核细胞增多症痊愈,传染性单核细胞增生症",,"皮疹,肝大,咽痛,发热",,白细胞分类计数：淋巴细胞异常增多；异性淋巴细胞增多,EB病毒监测：EB病毒阳性,,,
儿科,未特指部位的病毒性感染,,"[('病毒感染', 105), ('轮状病毒感染', 7), ('乙肝病毒感染', 5), ('病毒感染痊愈', 2), ('病毒感染后指甲脱落', 1)]",,B34,,,,,"病毒性感染,病毒感染,轮状病毒感染,乙肝病毒感染,病毒感染痊愈,病毒感染后指甲脱落",,病毒感染,"脚长水泡,发热,红斑样皮疹,咽痛,咳嗽,肝区肿大,恶心,呕吐,唾液腺疼痛,脾肿大,吞咽困难,唾液腺肿大,眼睛发红,食欲较差,口长水泡,腹痛,疱疹,眼痛,食欲异常,关节痛,流鼻涕,畏寒,黏膜损害,腹泻,肌肉酸痛,肌肉疼痛,腮腺区肿大,手长水泡,面部疼痛,淋巴结肿大,头疼",血常规：白细胞增高；淋巴细胞病例增高,病毒检查：阳性,,,
妇产科,念珠菌病,,"[('VVC', 1505), ('RVVC', 435), ('VVC治疗中', 31), ('bv', 9), ('尖锐湿疣', 8)]",,B37,,2,,,"念珠菌病,尖锐湿疣",外阴瘙痒、灼痛、部分有凝乳样、阴道分泌物增多,"豆腐渣样白带,白带增多,尿痛,外阴瘙痒,阴道粘膜红肿,小阴唇内侧及阴道粘膜附有白色块状物","外阴红斑,丘疹,小水疱,外阴灼痛,外阴瘙痒,腹股沟红斑,阴道分泌物增多,鳞屑性皮疹,外阴红肿,外阴糜烂",分泌物芽生孢子和假菌丝阳性，pH＜4.5；,,,,
小儿普通外科,直肠肛管疾病,"C19-C20,D12,K60-K62",,,C19,No,,,王叮咛,,无胎粪排出，直肠指检直肠闭锁或无肛门,腹胀，呕吐，尿道排出混着液体，尿道口排气排便,,X线倒置位摄片：了解直肠末端气体阴影位置，判断畸形位置；超声检查：直肠末端定位；瘘管造影可显示瘘管的方向、长短与粗细；直肠盲端穿刺造影可显示直肠盲端的形态及与会阴皮肤间的距离；,MRI:准确的显示直肠先天异常与周围组织脏器关系，确定直肠闭锁的高度、直肠末端与耻骨直肠肌的关系。,,,
小儿普通外科,胆管癌,C22.101,,,C22.101,No,,,于明丽,,,黄疸，大便灰白，小便颜色深,,血总胆红素升高、直接胆红素升高、碱性磷酸酶升高，γ-谷胺酰转移酶升高，凝血酶原时间延长，CEA升高；超声和CT发现胆管扩张和梗阻部位,,,,
儿童介入血管瘤科,肝母细胞瘤,C22.200 ,,,C22.200,No,,,刘延青,,,腹部膨隆，腹部包块，,体重降低、食欲不振，贫血，,AFP升高；CT可显示肝内单个或多个肿物，有钙化；,,贫血,1,
小儿普通外科,胆道肿瘤,C24.900胆道恶性肿瘤,,,C24,No,,,,,黄疸，大便颜色变浅，小便颜色变深，,右腹疼痛，厌油，食欲下降，皮肤瘙痒，肝区压痛，胆囊肿大，腹水,,,,,,
儿童胸外科,神经母细胞瘤,C30.001感觉神经母细胞瘤,C30.003嗅神经母细胞瘤,,C30,No,,,嘉敏,,横断性截瘫、Horner 综合征，单侧面部无汗，眼睑下垂，瞳孔缩小，眼球内陷，虹膜异色征,贫血、眶周淤斑、腹部膨隆、低钾性血症,发热、四肢疼痛、呼吸困难、脱水、高血压,间位腆代苄胍扫描提示病变处,血液或尿液里儿茶酚胺及其代谢产物（多巴胺，高香草酸、香草扁桃酸）的浓度显著升高、免疫组化学检查显微镜下呈现为蓝染的小圆形细胞,0,,
儿童胸外科,肺癌,C34.901,,,C34,No,,,嘉敏,,,"刺激性干咳,痰中带血,吸烟史，在化工行业工作",声音嘶哑，胸痛，胸闷，气促，,,,,,
儿童骨科,软骨肉瘤,C41.953,,,C41,No,,,刘延青,,关节疼痛，关节肿胀，关节肿块，隐痛逐渐加重,关节压迫，关节活动受限,全身症状，贫血、恶病质,血钙升高，尿蛋白阳性,高钙血症,贫血，白细胞升高，CRP升高,,
儿科,卡波西肉瘤,,"[('EWS', 55), ('RMS', 43)]",,C46,,,,,"卡波西肉瘤,横纹肌肉瘤,尤文肉瘤",,体表痛性肿块,"皮肤无痛性肿块,皮温高,发热,间歇性疼痛,体表痛性肿块",HIV抗体监测：阳性,组织病理学：早期皮肤病损没有特征性，表现为轻微血管增生,免疫检测：形成良好血管的内皮细胞一般血管标记物阳性，梭形细胞CD34持续性阳性、CD31常阳性，而VIII因子阴性。HHV8阳性，FLI1几乎100%表达。,,
儿童肿瘤外科,软组织肿瘤,C49,,,C49,No,,,嘉敏,,,无痛性进行性增大的肿块,体重下降，发热,,,,,
乳腺外科,乳房恶性肿瘤,,"[('乳腺癌', 393), ('乳癌', 231), ('乳腺Ca', 29), ('乳腺ca', 15), ('乳腺CA', 14)]",,C50,,2,345,,"乳房恶性肿瘤,乳腺癌,乳癌,乳腺Ca,乳腺ca,乳腺CA","乳腺癌，酒窝征，橘皮样改变，桔皮样改变，乳房肿块边缘不规则，肿块活动度差,肿块活动受限","乳腺肿块,皮肤点状凹陷,乳头溢液","乳头皮肤糜烂,乳头回缩,乳头皮肤瘙痒,乳头灼痛",彩超 :BI-RADS 3：可能良性病灶。建议短期复查( 3 - 6 个月)；BI-RADS 4：可疑的恶性病灶，建议组织病理学检查；BI-RADS 5：高度可能恶性＞95%；BI-RADS 0：需要其他影像学检查(如乳腺X线检查或MRI等)进一步评估,钼靶发现细沙样钙化，钼靶发现颗粒状钙化，钼靶发现肿块影，乳腺结构扭曲,,,
妇产科,宫颈恶性肿瘤,,"[('宫颈癌', 3402), ('宫颈Ca', 1448), ('宫颈CA', 538), ('宫颈ca', 350), ('宫颈癌Ib', 113)]",,C53,,2,345,,"宫颈恶性肿瘤,宫颈癌,宫颈Ca,宫颈CA,宫颈ca,宫颈癌Ib",接触性出血，阴道排液，宫颈糜烂样改变，赘生物，宫颈肥大质硬，溃疡或空洞伴恶臭,"血性阴道排液,不规则阴道出血","疼痛,尿痛,尿频,阴道分泌物增多,血尿,白带异常,尿急",病理示宫颈癌；彩超磁共振示宫颈肿物；SCCA明显升高,阴道镜子宫颈活检：CIN2-3，CA125升高，ER、PR阳性,子宫颈细胞学异常（ASCUS、LSIL、HSIL）、高危型HPV阳性,,
妇产科,子宫体恶性肿瘤,,"[('子宫内膜癌', 1221), ('宫内膜癌', 442), ('子宫内膜Ca', 273), ('内膜Ca', 238), ('宫内膜Ca', 78)]",,C54,,2,345,,"子宫体恶性肿瘤,子宫内膜癌,宫内膜癌",,"下腹包块,脓性分泌物,阴道不规则出血,阴道排液，下腹疼痛","盆腔绞痛,阴道分泌物增多,下腹胀痛,子宫出血,下腹部绞痛,尿痛,排尿困难,盆腔痛,阴道出血,下腹部疼痛",宫腔镜示癌灶存在；分段诊刮病理阳性；,彩超示宫腔实质不均回声，宫腔线小时，肌层不均回声，丰富血流信号。,CA125升高，CA199升高，ER、PR阳性,,
妇产科,卵巢恶性肿瘤,,"[('畸胎瘤', 525), ('卵巢Ca', 350), ('左卵巢畸胎瘤', 129), ('右卵巢畸胎瘤', 127), ('卵巢畸胎瘤', 105)]",,C56,,2,345,,"卵巢恶性肿瘤,畸胎瘤,左卵巢畸胎瘤,右卵巢畸胎瘤,卵巢畸胎瘤",,"下腹包块,腹腔积液,下腹压痛,月经不调,下腹疼痛","不规则子宫出血,消瘦,持续性胀痛,绝经后出血",彩超或MRI：附件包块或卵巢体积增大，双侧、固定、混合性或实性，CA125和癌胚抗原(CEA)明显升高,彩超示腹水、CT淋巴结增大，胸部X线示胸水,hcg阴性，AFP阴性,,
妇产科,女性生殖器官其他和未特指的恶性肿瘤,,"[('卵巢恶性肿瘤', 109), ('输卵管恶性肿瘤', 8), ('右输卵管恶性肿瘤', 1)]",,C57,,2,345,,"卵巢恶性肿瘤,输卵管恶性肿瘤,右输卵管恶性肿瘤",,"下腹肿块,阴道浆液性黄水，下腹疼痛","阴道流血,发热,衰弱,食欲不振",彩超示卵巢包块，囊实混合或实性，囊内乳头，血流丰富，CA125，血清HE4升高,hcg、AFP、雌激素等升高,彩超示腹水、胸水、CT示淋巴结转移,,
儿童泌尿外科,睾丸癌,C62.954,,,C62,No,1,,刘延青,,睾丸肿胀，睾丸触痛，睾丸变硬，睾丸增大，睾丸肿块，睾丸坠胀,睾丸钝痛，睾丸疼痛性肿块，腹部肿块，腹股沟肿块，腹股沟淋巴结肿大,转移症状，胸痛，咳嗽，咯血，呕吐，颈部肿块，骨痛，下肢水肿,AFP升高，HCG升高,,,,
儿科,肾(除外肾盂)恶性肿瘤,,"[('WT', 267), ('肾母细胞瘤', 71), ('右肾母细胞瘤', 4), ('肾母细胞瘤化疗', 1)]",,C64,,,,,"肾恶性肿瘤,WT,肾母细胞瘤,右肾母细胞瘤,肾母细胞瘤化疗",,"腹部肿块,血尿,腰痛","头痛,腹部膨隆,咳血,腹部不对称,消瘦,精神萎靡",尿常规：血尿,泌尿系造影：占位病变,超声：占位病变,,
儿童外科,膀胱癌,C67.900 ,,,C67,No,,,刘延青,,血尿，间歇性血尿，间歇性肉眼血尿，尿频，尿急，尿痛,尿内腐肉样组织排出，排尿困难，尿潴留，下腹耻骨上区扪及包块，腰骶部疼痛，肾积水，肾功能不全,下肢水肿，发热，贫血貌，体重减轻，衰弱,尿脱落细胞学检查可见肿瘤细胞，血尿,膀胱肿瘤抗原BTA阳性,贫血,1,
儿童眼科,葡萄膜病,C69.401葡萄膜恶性肿瘤,A18.504葡萄膜结核,,C69,No,,,白莹,,眼痛，畏光、流泪、视物模糊，前房大量纤维蛋白渗出或反应性黄斑水肿，视盘水肿，视力下降，睫状充血，混合性充血，角膜后沉着物，前房闪辉，房水炎性细胞，前房积脓，虹膜粘连，虹膜膨隆，房角粘连，虹膜脱色素，Koppe结节，Busacca结节，虹膜肉芽肿，梅花状瞳孔，瞳孔闭锁，雪堤样改变,瞳孔缩小，眼红，眼痛，飞蚊症，玻璃体雪球状混浊，继发白内障、继发青光眼,骶髂关节疼痛，关节红肿，尿道炎，消化道异常，呼吸系统异常，银屑病，皮肤病，强直性脊柱炎，Reiter综合征，炎症性肠道疾病，结核，梅毒,裂隙灯检查：前房内白色光束；大小一致的灰白色尘状颗粒,玻璃体雪球样混浊、雪堤样改变，下周边视网膜血管炎，FFA示视网膜血管病变，ICGA示脉络膜血管病变，B超，CT阳性结果,血沉升高，HLA-B27抗原阳性，眼内液病原体DNA阳性，抗体阳性,,
儿童眼科,视网膜母细胞瘤,C69.202,,,C69.200,No,,123,,,,眼球膨大、牛眼、瞳孔散大、白瞳症、黄光反射,结膜充血、结膜水肿、角膜水肿、虹膜新生血管、玻璃体混浊、眼压升高、斜视,,,,,
儿童肿瘤外科,甲状腺癌,C73.X02,,,C73,No,,,嘉敏,,,甲状腺肿块，肿块质地硬而固定、表面不平,,,,,,
小儿神经外科,生殖细胞瘤,C75.300 ,,,C75,No,,,嘉敏,,,性早熟，视力障碍,头痛，呕吐，多饮多尿,,,,,
儿童肿瘤外科,淋巴瘤,C81-C96,,,C81,No,,,刘延青,,霍奇金淋巴瘤，非霍奇金淋巴瘤，淋巴结肿大，肝肿大，脾肿大,贫血貌,发热，盗汗，体重减轻,贫血，白细胞升高，淋巴细胞升高，嗜酸性粒细胞升高，基因重排，染色体异常，球蛋白升高，抗人球蛋白试验阳性,骨髓R-S细胞，全血细胞减少,血沉加快，碱性磷酸酶活性升高，血钙升高，乳酸脱氢酶活性升高,,
儿科,未特指细胞类型的白血病,,"[('ALL', 1638), ('ALLL', 448), ('AMLM', 309), ('APL', 166), ('急性白血病', 118)]",,C95,,,,,"白血病,急性白血病",,"面色苍白,淋巴结肿大,骨痛,胸骨压痛,肝区肿大,脾肿大,牙龈出血,血象异常,淋巴结肿大","盗汗,皮肤斑丘疹,持续性弛张热,呼吸异常,共济失调,咳嗽,胸闷,皮肤瘀点,视网膜出血,血小板减少,表情淡漠,心悸,丘疹,周身不适,结节,纵隔病变,气道陷闭,神疲乏力,体重减轻,继发感染,反复感染,视力异常,四肢无力,非感染性发热,上腔静脉回流受阻,骨髓抑制,反复高热,盆腔包块,溃疡,内脏出血,白细胞增多,关节痛,颈强直,头晕,血运障碍,全血细胞减少,感染性发热,纳差,纵隔增宽腹胀,头疼,体重下降,发热疲乏",骨髓穿刺检查：幼稚细胞增多,血常规：细胞比例极其异常,外周血涂片：可见幼稚细胞,,
妇产科,宫颈原位癌,,"[('CIN', 3815), ('CINI', 589), ('CINIII', 575), ('宫颈CIN', 565), ('CINII', 292)]",,D06,,2,,,宫颈原位癌,接触性出血，阴道排液，宫颈光滑或糜烂样,"尿频尿急尿痛,阴道出血,阴道分泌物增多","小腹疼痛,腰痛",阴道镜子宫颈活检：CIN,子宫颈细胞学异常（ASCUS、LSIL、HSIL）、高危型HPV阳性,,,
儿科,"血管瘤和淋巴管瘤,任何部位",,"[('血管瘤', 1049), ('皮肤血管瘤', 98), ('背部血管瘤', 51), ('淋巴管瘤', 32), ('颅咽管瘤', 30)]",,D18,,,,,"血管瘤,血管瘤,皮肤血管瘤,背部血管瘤,淋巴管瘤,颅咽管瘤",,"血管痣,红斑样皮疹,血管畸形","呼吸道阻塞,脊椎僵直,肝区肿大,吞咽困难,食欲不振,偏瘫,颅内压增高,抽搐,脑室出血,截瘫,丘疹,巨唇,颈强直,脑叶出血,瘙痒,血管杂音,结节,腹部肿块,软组织肥大,头疼",超声：局部可见血管瘤,磁共振：血管瘤影像,,,
儿童皮肤科,痣,D22.952,,,D22,No,,,王叮咛,,扁平或略隆起的斑疹或丘疹、乳头状瘤、疣状、结节，黑痣,痣，黑点，褐色点,皮肤黑点,病理活检：皮内有巢状排列的、无树枝状突的痣细胞,,,,
乳腺外科,乳房良性肿瘤,D24,,,D24,No,2,,唐晓昱,,乳腺增生，乳腺囊肿，乳腺肿块,"乳房无痛性肿块,肿块边界清晰，肿块活动度好，乳头溢液",,超声：圆形或椭圆形低回声区，边界清晰整齐，边缘光滑，回声均匀,,,,
妇产科,子宫平滑肌瘤,,"[('子宫肌瘤', 13183), ('多发性子宫肌瘤', 1164), ('子宫肌瘤挖除', 756), ('子宫肌瘤剥除', 397), ('子宫肌瘤切除', 121)]",,D25,,2,,,"子宫平滑肌瘤,子宫肌瘤,多发性子宫肌瘤,子宫肌瘤挖除,子宫肌瘤剥除,子宫肌瘤切除",,"腰背酸痛,白带增多,尿频,下腹坠痛,下腹包块,尿急，子宫增大，表面不规则结节突起","无宫缩间歇,脓血性白带,阴道分泌物增多,腹部肿块,子宫出血,阴道出血，外阴脱出肿物",超声：类圆形或椭圆形低回声的实性结节，界限清。较大者内部回声不均，可见片状低回声，周边血流信号，实质内可有稀疏或丰富点状、短线状细条状和小分支血流或无血流信号。,MRI：T1加权成像（WI）似正常肌层，T2WI低信号；伴坏死液化或玻璃样变时可表现为T2WI高信号，伴出血是T1WI、T2WI均表现为不均匀高信号。,,,
儿童外科,畸胎瘤,D27.x03,,,D27,No,,,刘延青,,颅内畸胎瘤，头痛，恶心，呕吐，胃畸胎瘤，腹部包块，腹胀，睾丸畸胎瘤，睾丸无痛性包块，睾丸硬包块,双侧视乳头水肿，双眼上视不能，共济失调，性早熟，颅神经麻痹，尿崩症，嗜睡，视力视野障碍，颈部僵硬，复视；呕吐，呕血，黑便；睾丸结节状包块，睾丸不规则包块,耳聋，眼颤，颅内神经损伤；呼吸困难，意识障碍,性激素水平升高,0,贫血,,
儿童胸外科,胸壁肿瘤,D36,,,D36,No,,,刘延青,,胸部疼痛，胸壁撞击痛，胸壁压痛，胸壁局部疼痛、胸壁压痛，胸壁包块,持续性疼痛者，肋间神经痛，肋间神经痛反射到上腹部，骨质破坏，病理性骨折，胸壁肿瘤可发生中心坏死、溃破、感染或出血，咳嗽、呼吸困难、胸腔积液，胸内压迫症状 ,肿瘤转移，全身症状，胸腔积液，血胸，体重下降，气促，贫血貌,,,白细胞升高，贫血等,,
